type,door,landing,model,minHoistwayWidth,minHoistwayDepth,maxHoistwayWidth,maxHoistwayDepth,minOverallWidth,minOverallDepth,maxOverallWidth,maxOverallDepth
A,accordion,FALSE,panorama,1270,1360,1550,1665,950,1255,1232,1560
A,bifold,FALSE,panorama,1295,1360,1550,1665,980,1255,1232,1560
A,2speed,FALSE,panorama,1640,1490,1640,1795,1240,1395,1240,1700
A,2speed,TRUE,panorama,1720,1645,1720,1950,1240,1395,1240,1700
A,3speed,FALSE,panorama,1410,1545,1410,1850,1080,1450,1080,1755
A,3speed,TRUE,panorama,1485,1735,1590,2040,1080,1450,1080,1755
B,accordion,FALSE,panorama,1270,1285,1550,1590,950,1220,1232,1525
B,bifold,FALSE,panorama,1295,1285,1550,1590,980,1220,1232,1525
B,2speed,FALSE,panorama,1640,1560,1640,1865,1240,1500,1240,1805
B,2speed,TRUE,panorama,1720,1865,1720,2170,1240,1500,1240,1805
B,3speed,FALSE,panorama,1405,1665,1405,1970,1080,1600,1080,1905
B,3speed,TRUE,panorama,1485,2045,1485,2350,1080,1600,1080,1905
C,accordion,FALSO,panorama,1381,1359,1562,1664,1076,1257,1257,1562
C,bifold,FALSO,panorama,1372,1359,1562,1664,1067,1257,1257,1562
D,accordion,FALSO,panorama,1381,1359,1562,1664,1076,1257,1257,1562
D,bifold,FALSO,panorama,1372,1359,1562,1664,1067,1257,1257,1562
E,accordion,FALSO,panorama,1257,1397,1537,1702,953,1257,1232,1562
E,bifold,FALSO,panorama,1257,1397,1537,1702,953,1257,1232,1562
E,2speed,FALSO,panorama,1395,1640,1700,1640,1090,1295,1395,1295
E,2speed,VERDADERO,panorama,1550,1720,1855,1720,1090,1295,1395,1295
E,3speed,FALSO,panorama,1450,1485,1755,1485,1145,1295,1450,1295
E,3speed,VERDADERO,panorama,1640,1485,1945,1485,1145,1295,1450,1295
A,accordion,FALSE,renaissance,1270,1360,1550,1665,950,1255,1232,1560
A,bifold,FALSE,renaissance,1295,1360,1550,1665,980,1255,1232,1560
A,2speed,FALSE,renaissance,1640,1490,1640,1795,1240,1395,1240,1700
A,2speed,TRUE,renaissance,1720,1645,1720,1950,1240,1395,1240,1700
A,3speed,FALSE,renaissance,1410,1545,1410,1850,1080,1450,1080,1755
A,3speed,TRUE,renaissance,1485,1735,1590,2040,1080,1450,1080,1755
B,accordion,FALSE,renaissance,1270,1285,1550,1590,950,1220,1232,1525
B,bifold,FALSE,renaissance,1295,1285,1550,1590,980,1220,1232,1525
B,2speed,FALSE,renaissance,1640,1560,1640,1865,1240,1500,1240,1805
B,2speed,TRUE,renaissance,1720,1865,1720,2170,1240,1500,1240,1805
B,3speed,FALSE,renaissance,1405,1665,1405,1970,1080,1600,1080,1905
B,3speed,TRUE,renaissance,1485,2045,1485,2350,1080,1600,1080,1905
C,accordion,FALSO,renaissance,1381,1359,1562,1664,1076,1257,1257,1562
C,bifold,FALSO,renaissance,1372,1359,1562,1664,1067,1257,1257,1562
D,accordion,FALSO,renaissance,1381,1359,1562,1664,1076,1257,1257,1562
D,bifold,FALSO,renaissance,1372,1359,1562,1664,1067,1257,1257,1562
E,accordion,FALSO,renaissance,1257,1397,1537,1702,953,1257,1232,1562
E,bifold,FALSO,renaissance,1257,1397,1537,1702,953,1257,1232,1562
E,2speed,FALSO,renaissance,1395,1640,1700,1640,1090,1295,1395,1295
E,2speed,VERDADERO,renaissance,1550,1720,1855,1720,1090,1295,1395,1295
E,3speed,FALSO,renaissance,1450,1485,1755,1485,1145,1295,1450,1295
E,3speed,VERDADERO,renaissance,1640,1485,1945,1485,1145,1295,1450,1295
A,accordion,FALSO,legacy,1400,1359,1480,1664,1076,1257,1156,1562
A,bifold,FALSO,legacy,1314,1359,1391,1664,978,1257,1054,1562
B,accordion,FALSO,legacy,1400,1359,1480,1664,1076,1257,1156,1562
B,bifold,FALSO,legacy,1314,1283,1391,1588,978,1219,1054,1524
C,accordion,FALSO,legacy,1400,1359,1480,1664,1076,1257,1156,1562
D,accordion,FALSO,legacy,1400,1359,1480,1664,1076,1257,1156,1562
E,accordion,FALSO,legacy,1276,1397,1276,1702,953,1257,1054,1562
E,bifold,FALSO,legacy,1397,1397,1549,1397,1257,1092,1410,1092
